Epoch,Loss,Gradient_norm
1,8.43828010559082,0.9038107395172119
2,8.38603687286377,0.9037134051322937
3,8.333895683288574,0.9036116600036621
4,8.2818603515625,0.9035044312477112
5,8.229936599731445,0.9033913612365723
6,8.178129196166992,0.9032723307609558
7,8.126444816589355,0.9031470417976379
8,8.074888229370117,0.9030154347419739
9,8.023463249206543,0.9028770923614502
10,7.972175598144531,0.9027318954467773
11,7.921032905578613,0.9025795459747314
12,7.87003755569458,0.9024198651313782
13,7.819197177886963,0.9022524356842041
14,7.768517971038818,0.9020771384239197
15,7.71800422668457,0.9018939733505249
16,7.667664051055908,0.9017025232315063
17,7.617501258850098,0.9015027284622192
18,7.56752347946167,0.901294469833374
19,7.517735958099365,0.9010776877403259
20,7.46814489364624,0.9008522629737854
21,7.418755531311035,0.9006182551383972
22,7.369573593139648,0.9003754258155823
23,7.320603847503662,0.9001238346099854
24,7.271852970123291,0.8998631834983826
25,7.223326683044434,0.8995930552482605
26,7.175027370452881,0.8993140459060669
27,7.126963138580322,0.8990252614021301
28,7.079139232635498,0.898726761341095
29,7.03156042098999,0.8984183073043823
30,6.984230041503906,0.898099422454834
31,6.9371562004089355,0.89777010679245
32,6.890341281890869,0.897429883480072
33,6.84379243850708,0.8970786333084106
34,6.797513008117676,0.8967156410217285
35,6.751509189605713,0.8963403105735779
36,6.705785751342773,0.8959523439407349
37,6.660346984863281,0.8955511450767517
38,6.615198612213135,0.8951355218887329
39,6.570345401763916,0.8947052955627441
40,6.525789260864258,0.8942593336105347
41,6.481536388397217,0.8937966227531433
42,6.437590599060059,0.8933163285255432
43,6.393955707550049,0.8928173780441284
44,6.3506340980529785,0.8922983407974243
45,6.3076300621032715,0.8917585611343384
46,6.264945030212402,0.8911963105201721
47,6.222584247589111,0.8906102180480957
48,6.180548191070557,0.8899992108345032
49,6.138840675354004,0.8893617987632751
50,6.097463607788086,0.888696014881134
51,6.0564188957214355,0.8880001306533813
52,6.01570987701416,0.8872721791267395
53,5.97533655166626,0.8865105509757996
54,5.935301780700684,0.885712742805481
55,5.895606517791748,0.8848766684532166
56,5.856252670288086,0.8840000629425049
57,5.817240238189697,0.8830803036689758
58,5.778571605682373,0.8821150660514832
59,5.740245342254639,0.881101667881012
60,5.70226526260376,0.8800375461578369
61,5.66463041305542,0.878919780254364
62,5.627340793609619,0.8777459263801575
63,5.590397357940674,0.8765130043029785
64,5.553800582885742,0.875218391418457
65,5.517549514770508,0.8738595247268677
66,5.4816460609436035,0.8724339604377747
67,5.4460883140563965,0.870939314365387
68,5.410876750946045,0.8693732023239136
69,5.376012325286865,0.8677340149879456
70,5.341493606567383,0.8660199642181396
71,5.307321548461914,0.8642296195030212
72,5.273493766784668,0.8623623251914978
73,5.240010738372803,0.8604173064231873
74,5.2068705558776855,0.8583946228027344
75,5.174073696136475,0.856294572353363
76,5.1416168212890625,0.8541179895401001
77,5.109500408172607,0.8518661856651306
78,5.07772159576416,0.8495407700538635
79,5.04627799987793,0.8471443057060242
80,5.015168190002441,0.8446792960166931
81,4.984389781951904,0.8421490788459778
82,4.9539384841918945,0.8395571708679199
83,4.923812389373779,0.8369079232215881
84,4.894007205963135,0.8342055082321167
85,4.864520072937012,0.8314545154571533
86,4.83534574508667,0.8286600112915039
87,4.806481838226318,0.8258270025253296
88,4.777923107147217,0.8229610919952393
89,4.749664306640625,0.8200669288635254
90,4.721701622009277,0.8171504735946655
91,4.694029331207275,0.8142165541648865
92,4.6666412353515625,0.8112706542015076
93,4.639533519744873,0.8083175420761108
94,4.612700462341309,0.8053621649742126
95,4.5861358642578125,0.8024092316627502
96,4.5598344802856445,0.7994632124900818
97,4.533789157867432,0.7965274453163147
98,4.507995128631592,0.7936064600944519
99,4.482447147369385,0.7907032370567322
100,4.457137584686279,0.78782057762146
